Attrition_Flag,Gender,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Married,Single,Unknown,Age_Under 30,Age_30-40,Age_40-50,Age_50-60,Age_60+,Total_Trans_Amt_Binned_Low,Total_Trans_Amt_Binned_Medium,Total_Trans_Amt_Binned_High,Total_Trans_Amt_Binned_Very High,Avg_Open_To_Buy_Binned_Low,Avg_Open_To_Buy_Binned_Medium,Avg_Open_To_Buy_Binned_High,Total_Revolving_Bal_Binned_Low,Total_Revolving_Bal_Binned_Medium,Total_Revolving_Bal_Binned_High,Total_Revolving_Bal_Binned_Very High
0,0,3,1,3,1,39,5,1,3,12691.0,42,1.335,1.625,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,1,5,3,1,1,44,6,1,2,8256.0,33,1.541,3.714,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,3,3,4,1,36,4,1,0,3418.0,20,2.594,2.333,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,1,4,1,1,1,34,3,4,1,3313.0,20,1.405,2.333,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0,0,3,0,3,1,21,5,1,0,4716.0,28,2.175,2.5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,0,2,3,2,1,36,3,1,2,4010.0,24,1.376,0.846,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,4,-1,5,3,46,6,1,3,34516.0,31,1.975,0.722,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0,0,0,1,3,2,27,2,2,2,29081.0,36,2.204,0.714,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,0,3,0,3,1,36,5,2,0,22352.0,24,3.355,1.182,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0,0,2,3,4,1,36,6,3,3,11656.0,32,1.524,0.882,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,5,0,5,1,31,5,3,2,6748.0,42,0.831,0.68,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,1,-1,2,1,54,6,2,3,9095.0,26,1.433,1.364,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
0,0,1,2,4,1,36,3,6,0,11751.0,17,3.397,3.25,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,3,3,3,1,30,5,1,3,8547.0,33,1.163,2.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,2,3,1,1,48,5,2,2,2436.0,29,1.19,0.611,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,0,4,-1,4,1,37,5,1,2,4234.0,27,1.707,1.7,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,4,4,4,1,36,6,2,3,30367.0,27,1.708,0.929,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,3,-1,4,1,34,4,4,1,13535.0,21,0.653,1.625,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,1,1,2,1,56,2,2,3,3193.0,30,1.831,1.143,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
0,1,2,3,-1,1,37,6,1,2,14470.0,21,0.966,0.909,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,1,5,3,1,42,5,2,0,20979.0,27,0.906,0.929,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
1,1,0,3,1,1,49,2,3,3,1438.3,16,1.047,0.6,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0,0,3,1,2,1,33,4,2,1,4470.0,18,1.608,1.571,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
0,1,4,-1,1,1,36,3,3,2,2492.0,23,0.573,0.353,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
0,0,2,-1,4,1,42,4,2,3,12217.0,21,1.075,0.75,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,1,3,3,1,1,28,6,1,2,7768.0,22,0.797,0.833,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,1,1,2,1,46,4,1,2,14784.0,23,0.921,1.3,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,0,1,-1,3,1,56,3,3,2,10215.0,40,0.843,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0,1,3,0,-1,1,34,5,2,2,10100.0,18,0.525,1.571,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
0,0,4,1,2,1,42,6,0,0,4785.0,38,0.739,0.9,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,3,-1,4,1,33,3,2,3,2753.0,25,0.977,2.571,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,0,2,0,3,1,48,2,5,1,2451.0,26,1.323,1.6,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
