Attrition_Flag,Gender,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Married,Single,Unknown,Age_Under 30,Age_30-40,Age_40-50,Age_50-60,Age_60+,Total_Trans_Amt_Binned_Low,Total_Trans_Amt_Binned_Medium,Total_Trans_Amt_Binned_High,Total_Trans_Amt_Binned_Very High,Avg_Open_To_Buy_Binned_Low,Avg_Open_To_Buy_Binned_Medium,Avg_Open_To_Buy_Binned_High,Total_Revolving_Bal_Binned_Low,Total_Revolving_Bal_Binned_Medium,Total_Revolving_Bal_Binned_High,Total_Revolving_Bal_Binned_Very High
0,0,0.6000000000000001,0.3333333333333333,0.6666666666666666,0.0,0.6046511627906976,0.8,0.16666666666666666,0.5,0.5041148299636676,0.25,0.39299381807477185,0.43753365643511044,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,1,1.0,0.6666666666666666,0.3333333333333333,0.0,0.7209302325581396,1.0000000000000002,0.16666666666666666,0.3333333333333333,0.3054292459803689,0.1796875,0.4536355607889314,1.0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,0.6000000000000001,0.6666666666666666,0.8333333333333333,0.0,0.5348837209302325,0.6000000000000001,0.16666666666666666,0.0,0.08868948153590452,0.078125,0.7636149543715043,0.6281637049003771,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,1,0.8,0.3333333333333333,0.3333333333333333,0.0,0.4883720930232558,0.4000000000000001,0.6666666666666666,0.16666666666666666,0.08398553873584898,0.078125,0.41360023550191344,0.6281637049003771,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0,0,0.6000000000000001,0.16666666666666666,0.6666666666666666,0.0,0.18604651162790697,0.8,0.16666666666666666,0.0,0.14683917443563888,0.140625,0.6402708272004709,0.6731287022078623,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,0,0.4,0.6666666666666666,0.5,0.0,0.5348837209302325,0.4000000000000001,0.16666666666666666,0.3333333333333333,0.11521075903717011,0.109375,0.4050632911392405,0.22778675282714056,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0.6000000000000001,0.16666666666666666,0.6666666666666666,0.0,0.5348837209302325,0.8,0.3333333333333333,0.0,0.936922367024017,0.109375,0.987636149543715,0.31825525040387725,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0,0,0.4,0.6666666666666666,0.8333333333333333,0.0,0.5348837209302325,1.0000000000000002,0.5,0.5,0.45774739379169155,0.171875,0.4486311451280542,0.2374798061389338,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,1.0,0.16666666666666666,0.9999999999999999,0.0,0.41860465116279066,0.8,0.5,0.3333333333333333,0.23787166748052346,0.25,0.24462761259935237,0.18309100700053854,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,0.2,0.0,0.5,0.0,0.9534883720930233,1.0000000000000002,0.3333333333333333,0.5,0.34301598892557467,0.125,0.4218428024727701,0.36725901992460963,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
0,0,0.2,0.5,0.8333333333333333,0.0,0.5348837209302325,0.4000000000000001,1.0,0.0,0.46200334203936083,0.0546875,1.0,0.8750673128702209,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
